Date,Type,Name,Start,End,Duration
11/2/15,place,Home,2015-11-02T00:00:00-05:00,2015-11-02T00:01:06-05:00,66
11/2/15,place,Place in Penn Station South,2015-11-02T08:13:59-05:00,2015-11-02T08:59:06-05:00,2707
11/2/15,move,walking,2015-11-02T08:59:06-05:00,2015-11-02T09:04:43-05:00,337
11/2/15,place,Home,2015-11-02T09:04:42-05:00,2015-11-02T10:14:45-05:00,4203
11/2/15,move,walking,2015-11-02T10:14:45-05:00,2015-11-02T10:23:56-05:00,551
11/2/15,place,Cornell Tech,2015-11-02T10:23:56-05:00,2015-11-02T23:41:44-05:00,47868
11/2/15,move,walking,2015-11-02T23:41:44-05:00,2015-11-02T23:52:46-05:00,662
11/2/15,place,Home,2015-11-02T23:52:47-05:00,2015-11-03T00:00:00-05:00,433
11/3/15,place,Home,2015-11-03T00:00:00-05:00,2015-11-03T07:41:47-05:00,27707
11/3/15,place,Cornell Tech,2015-11-03T09:01:10-05:00,2015-11-04T00:00:00-05:00,53930
11/4/15,place,Cornell Tech,2015-11-04T00:00:00-05:00,2015-11-04T01:00:42-05:00,3642
11/4/15,move,walking,2015-11-04T01:00:42-05:00,2015-11-04T01:10:28-05:00,586
11/4/15,place,Cornell Tech,2015-11-04T09:48:54-05:00,2015-11-04T21:39:32-05:00,42638
11/4/15,move,walking,2015-11-04T21:39:32-05:00,2015-11-04T21:48:36-05:00,544
11/4/15,place,Place in Penn Station South,2015-11-04T21:48:36-05:00,2015-11-04T21:51:34-05:00,178
11/4/15,move,walking,2015-11-04T21:51:34-05:00,2015-11-04T21:58:06-05:00,392
11/4/15,place,Cornell Tech,2015-11-04T21:58:06-05:00,2015-11-05T00:00:00-05:00,7314
11/5/15,place,Cornell Tech,2015-11-05T00:00:00-05:00,2015-11-05T02:45:18-05:00,9918
11/5/15,move,walking,2015-11-05T02:45:18-05:00,2015-11-05T02:49:24-05:00,246
11/5/15,place,Home,2015-11-05T02:49:24-05:00,2015-11-05T02:54:21-05:00,297
11/5/15,move,walking,2015-11-05T09:53:15-05:00,2015-11-05T09:59:38-05:00,383
11/5/15,place,Cornell Tech,2015-11-05T09:59:37-05:00,2015-11-05T10:21:39-05:00,1322
