Date,Type,Name,Start,End,Duration
10/23/15,place,Cornell Tech,2015-10-23T10:45:35-04:00,2015-10-23T13:51:55-04:00,11180
10/23/15,move,walking,2015-10-23T13:51:55-04:00,2015-10-23T14:00:54-04:00,539
10/23/15,place,Chelsea Market,2015-10-23T14:00:54-04:00,2015-10-23T14:26:19-04:00,1525
10/23/15,move,walking,2015-10-23T14:26:19-04:00,2015-10-23T14:34:02-04:00,463
10/23/15,place,Cornell Tech,2015-10-23T14:34:02-04:00,2015-10-23T18:26:58-04:00,13976
10/23/15,move,walking,2015-10-23T18:26:58-04:00,2015-10-23T18:34:30-04:00,452
10/23/15,move,train,2015-10-23T18:34:30-04:00,2015-10-23T18:38:00-04:00,210
10/23/15,move,walking,2015-10-23T18:38:00-04:00,2015-10-23T18:48:02-04:00,602
10/23/15,place,Amsterdam Billiards & Bar,2015-10-23T18:48:02-04:00,2015-10-23T19:31:59-04:00,2637
10/23/15,move,walking,2015-10-23T19:31:59-04:00,2015-10-23T19:37:54-04:00,355
10/23/15,place,Best Buy,2015-10-23T19:37:54-04:00,2015-10-23T20:18:45-04:00,2451
10/23/15,move,walking,2015-10-23T20:18:45-04:00,2015-10-23T20:24:52-04:00,367
10/23/15,place,Burlington Coat Factory,2015-10-23T20:24:52-04:00,2015-10-23T21:56:54-04:00,5522
10/23/15,move,walking,2015-10-23T21:56:54-04:00,2015-10-23T22:07:10-04:00,616
10/23/15,place,Party City,2015-10-23T22:07:10-04:00,2015-10-23T22:39:00-04:00,1910
10/23/15,move,walking,2015-10-23T22:39:00-04:00,2015-10-23T22:54:04-04:00,904
10/23/15,place,Bunga's Den,2015-10-23T22:54:04-04:00,2015-10-24T00:00:00-04:00,3956
10/24/15,place,Bunga's Den,2015-10-24T00:00:00-04:00,2015-10-24T00:40:58-04:00,2458
10/24/15,move,walking,2015-10-24T00:40:58-04:00,2015-10-24T00:46:22-04:00,324
10/24/15,place,Home,2015-10-24T00:46:22-04:00,2015-10-24T00:47:57-04:00,95
10/24/15,place,Cornell Tech,2015-10-24T11:26:33-04:00,2015-10-24T23:00:12-04:00,41619
10/24/15,move,transport,2015-10-24T23:00:12-04:00,2015-10-24T23:08:09-04:00,477
10/24/15,move,walking,2015-10-24T23:08:09-04:00,2015-10-24T23:23:15-04:00,906
10/24/15,place,The Halal Guys,2015-10-24T23:23:15-04:00,2015-10-24T23:43:44-04:00,1229
10/24/15,move,walking,2015-10-24T23:43:45-04:00,2015-10-24T23:53:25-04:00,580
10/24/15,place,Place in Murray Hill,2015-10-24T23:53:25-04:00,2015-10-25T00:00:00-04:00,395
10/25/15,place,Place in Murray Hill,2015-10-25T00:00:00-04:00,2015-10-25T00:18:24-04:00,1104
10/25/15,move,walking,2015-10-25T00:18:24-04:00,2015-10-25T00:22:30-04:00,246
10/25/15,place,Place in San Juan Hill,2015-10-25T00:22:30-04:00,2015-10-25T00:24:38-04:00,128
10/25/15,move,walking,2015-10-25T00:24:38-04:00,2015-10-25T00:33:30-04:00,532
10/25/15,move,train,2015-10-25T00:33:30-04:00,2015-10-25T00:39:30-04:00,360
10/25/15,move,walking,2015-10-25T00:39:30-04:00,2015-10-25T00:44:08-04:00,278
10/25/15,place,Home,2015-10-25T00:44:08-04:00,2015-10-25T00:47:14-04:00,186
10/25/15,move,walking,2015-10-25T10:12:46-04:00,2015-10-25T10:29:41-04:00,1015
10/25/15,place,Cornell Tech,2015-10-25T10:29:41-04:00,2015-10-25T20:29:11-04:00,35970
10/25/15,move,walking,2015-10-25T20:29:11-04:00,2015-10-25T20:38:42-04:00,571
10/25/15,place,Home,2015-10-25T20:38:42-04:00,2015-10-26T00:00:00-04:00,12078
